"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","8","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","10","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","4","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","26","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","5","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","9","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","22","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","18","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","7","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","6","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","4","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","27","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","2","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","9","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Fri Oct 18 21:18:34 GMT 2024","Fri Oct 18 21:18:34 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Fri Oct 18 21:18:21 GMT 2024","Fri Oct 18 21:18:21 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
