"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","20","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","27","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","25","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","26","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","6","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","3","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","4","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","9","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","6","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","4","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","10","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","4","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","27","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","7","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","4","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Tue Nov 12 18:33:34 GMT 2024","Tue Nov 12 18:33:34 GMT 2024","23","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","0","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Tue Nov 12 18:33:23 GMT 2024","Tue Nov 12 18:33:23 GMT 2024","8","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Tue Nov 12 18:33:44 GMT 2024","Tue Nov 12 18:33:44 GMT 2024","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Tue Nov 12 18:33:24 GMT 2024","Tue Nov 12 18:33:24 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
