"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","6","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","33","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","4","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","29","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","20","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"failed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","14","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","33","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","7","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","10","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","4","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","17","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","0","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","16","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","4","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","8","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Sun Oct 20 09:50:06 GMT 2024","Sun Oct 20 09:50:06 GMT 2024","12","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Sun Oct 20 09:49:54 GMT 2024","Sun Oct 20 09:49:54 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Sun Oct 20 09:49:53 GMT 2024","Sun Oct 20 09:49:53 GMT 2024","4","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
