"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","19","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","4","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","9","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","9","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","4","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","23","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","12","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","2","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Sun Oct 20 09:46:35 GMT 2024","Sun Oct 20 09:46:35 GMT 2024","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","37","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","6","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","38","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Sun Oct 20 09:46:15 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","26","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","11","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","6","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Sun Oct 20 09:46:14 GMT 2024","Sun Oct 20 09:46:15 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"failed","Sun Oct 20 09:46:25 GMT 2024","Sun Oct 20 09:46:25 GMT 2024","26","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
