"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","1","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","1","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","25","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","10","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","1","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","25","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","26","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Mon Nov 04 14:04:29 GMT 2024","Mon Nov 04 14:04:29 GMT 2024","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","10","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","5","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","8","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","7","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","4","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Mon Nov 04 14:04:08 GMT 2024","Mon Nov 04 14:04:08 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","3","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Mon Nov 04 14:04:18 GMT 2024","Mon Nov 04 14:04:18 GMT 2024","21","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
