"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","6","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","7","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","25","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","0","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","6","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","6","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","40","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","24","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","10","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","25","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","2","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","4","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","23","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","8","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Tue Dec 24 20:59:57 GMT 2024","Tue Dec 24 20:59:57 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","10","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","28","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Tue Dec 24 21:00:15 GMT 2024","Tue Dec 24 21:00:15 GMT 2024","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","4","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Tue Dec 24 21:00:05 GMT 2024","Tue Dec 24 21:00:05 GMT 2024","29","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","9","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Tue Dec 24 20:59:56 GMT 2024","Tue Dec 24 20:59:56 GMT 2024","5","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
